ranking_id,ranking_position,n_hidden_layers,nodes_per_layer,n_epochs,n_samples,sample_size,n_classes,predicted_machine,predicted_variation,predicted_n_threads,predicted_runtime,benchmarked_machine,benchmarked_variation,benchmarked_n_threads,benchmarked_runtime
0,0,1,20,500,500,50,10,home_desktop,sequential,1,0.34622034972185883,home_desktop,sequential,1,0.4508994333333333
0,1,1,20,500,500,50,10,macbook,sequential,1,0.4611930279834966,macbook,sequential,1,0.7056348333333333
0,2,1,20,500,500,50,10,DAS5,sequential,1,0.48398205579173587,DAS5,sequential,1,0.9166972333333331
1,0,0,20,500,500,50,10,home_desktop,sequential,1,0.14218760763473692,home_desktop,sequential,1,0.1734024
1,1,0,20,500,500,50,10,macbook,sequential,1,0.18956071788898277,macbook,sequential,1,0.246929
1,2,0,20,500,500,50,10,DAS5,sequential,1,0.1960172330657009,DAS5,sequential,1,0.36352660000000003
2,0,2,20,500,500,50,10,home_desktop,sequential,1,0.46991061862662875,home_desktop,sequential,1,0.6764122
2,1,2,20,500,500,50,10,macbook,sequential,1,0.6253362123945587,macbook,sequential,1,1.0518534
2,2,2,20,500,500,50,10,DAS5,sequential,1,0.6678772351124039,DAS5,sequential,1,1.1988290000000001
3,0,5,20,500,500,50,10,home_desktop,sequential,1,0.8409814253409386,home_desktop,sequential,1,1.2894174
3,1,5,20,500,500,50,10,macbook,sequential,1,1.1177657656277453,macbook,sequential,1,2.1312872
3,2,5,20,500,500,50,10,DAS5,sequential,1,1.219562773074408,DAS5,sequential,1,2.1880556
4,0,10,20,500,500,50,10,home_desktop,sequential,1,1.4594327698647882,home_desktop,sequential,1,2.3162258000000002
4,1,10,20,500,500,50,10,macbook,sequential,1,1.9384816876830557,DAS5,sequential,1,3.7958194
4,2,10,20,500,500,50,10,DAS5,sequential,1,2.139038669677748,macbook,sequential,1,4.123696
5,0,25,20,500,500,50,10,home_desktop,sequential,1,3.314786803436339,home_desktop,sequential,1,5.494047400000001
5,1,25,20,500,500,50,10,macbook,sequential,1,4.40062945384899,DAS5,sequential,1,8.7627068
5,2,25,20,500,500,50,10,DAS5,sequential,1,4.897466359487767,macbook,sequential,1,9.512579400000002
6,0,50,20,500,500,50,10,home_desktop,sequential,1,6.407043526055592,home_desktop,sequential,1,10.7269984
6,1,50,20,500,500,50,10,macbook,sequential,1,8.504209064125543,DAS5,sequential,1,17.386685
6,2,50,20,500,500,50,10,DAS5,sequential,1,9.494845842504459,macbook,sequential,1,19.2339228
7,0,1,1,500,500,50,10,home_desktop,sequential,1,0.02518032886703574,home_desktop,sequential,1,0.05638
7,1,1,1,500,500,50,10,macbook,sequential,1,0.032951217728243276,macbook,sequential,1,0.1076482
7,2,1,1,500,500,50,10,DAS5,sequential,1,0.04563853881017176,DAS5,sequential,1,0.159332
8,0,1,50,500,500,50,10,home_desktop,sequential,1,0.8531256458084217,home_desktop,sequential,1,1.0679866
8,1,1,50,500,500,50,10,macbook,sequential,1,1.1373643073338966,macbook,sequential,1,1.7600428000000001
8,2,1,50,500,500,50,10,DAS5,sequential,1,1.176103398394205,DAS5,sequential,1,1.825291
9,0,1,100,500,500,50,10,home_desktop,sequential,1,1.6979678059526928,home_desktop,sequential,1,2.1712892
9,1,1,100,500,500,50,10,macbook,sequential,1,2.2643164395845634,DAS5,sequential,1,3.3394896000000003
9,2,1,100,500,500,50,10,DAS5,sequential,1,2.3296389693983213,macbook,sequential,1,3.379264
10,0,1,500,500,500,50,10,home_desktop,sequential,1,8.456705087106863,home_desktop,sequential,1,10.9204552
10,1,1,500,500,500,50,10,macbook,sequential,1,11.279933497589896,macbook,sequential,1,16.48917
10,2,1,500,500,500,50,10,DAS5,sequential,1,11.557923537431249,DAS5,sequential,1,16.600493399999998
11,0,1,1000,500,500,50,10,home_desktop,sequential,1,16.905126688549576,home_desktop,sequential,1,22.101323400000002
11,1,1,1000,500,500,50,10,macbook,sequential,1,22.549454820096564,macbook,sequential,1,32.686176399999994
11,2,1,1000,500,500,50,10,DAS5,sequential,1,23.09327924747241,DAS5,sequential,1,33.6535916
12,0,1,5000,500,500,50,10,home_desktop,sequential,1,84.49249950009127,home_desktop,sequential,1,111.83049779999999
12,1,1,5000,500,500,50,10,macbook,sequential,1,112.70562540014988,DAS5,sequential,1,176.3223928
12,2,1,5000,500,500,50,10,DAS5,sequential,1,115.37612492780168,macbook,sequential,1,224.567756
13,0,1,20,1,500,50,10,home_desktop,sequential,1,0.0006924406994437177,home_desktop,sequential,1,0.0009197999999999999
13,1,1,20,1,500,50,10,macbook,sequential,1,0.0009223860559669932,macbook,sequential,1,0.001794
13,2,1,20,1,500,50,10,DAS5,sequential,1,0.0009679641115834717,DAS5,sequential,1,0.0033048
14,0,1,20,1500,500,50,10,home_desktop,sequential,1,1.0386610491655766,home_desktop,sequential,1,1.351741
14,1,1,20,1500,500,50,10,macbook,sequential,1,1.3835790839504898,macbook,sequential,1,2.0825408000000003
14,2,1,20,1500,500,50,10,DAS5,sequential,1,1.4519461673752077,DAS5,sequential,1,2.3603278000000003
15,0,1,20,5000,500,50,10,home_desktop,sequential,1,3.462203497218588,home_desktop,sequential,1,4.5467828
15,1,1,20,5000,500,50,10,macbook,sequential,1,4.611930279834966,macbook,sequential,1,6.945907200000001
15,2,1,20,5000,500,50,10,DAS5,sequential,1,4.839820557917359,DAS5,sequential,1,7.3989414
16,0,1,20,500,1,50,10,home_desktop,sequential,1,0.0006924406994437177,home_desktop,sequential,1,0.0012912
16,1,1,20,500,1,50,10,macbook,sequential,1,0.0009223860559669932,macbook,sequential,1,0.0028145999999999996
16,2,1,20,500,1,50,10,DAS5,sequential,1,0.0009679641115834717,DAS5,sequential,1,0.0041008
17,0,1,20,500,50,50,10,home_desktop,sequential,1,0.03462203497218588,home_desktop,sequential,1,0.0459426
17,1,1,20,500,50,50,10,macbook,sequential,1,0.046119302798349665,macbook,sequential,1,0.0700824
17,2,1,20,500,50,50,10,DAS5,sequential,1,0.048398205579173584,DAS5,sequential,1,0.11663359999999998
18,0,1,20,500,100,50,10,home_desktop,sequential,1,0.06924406994437177,home_desktop,sequential,1,0.09026440000000001
18,1,1,20,500,100,50,10,macbook,sequential,1,0.09223860559669933,macbook,sequential,1,0.14535019999999998
18,2,1,20,500,100,50,10,DAS5,sequential,1,0.09679641115834717,DAS5,sequential,1,0.2095398
19,0,1,20,500,1000,50,10,home_desktop,sequential,1,0.6924406994437177,home_desktop,sequential,1,0.8969752
19,1,1,20,500,1000,50,10,macbook,sequential,1,0.9223860559669932,macbook,sequential,1,1.3853712
19,2,1,20,500,1000,50,10,DAS5,sequential,1,0.9679641115834717,DAS5,sequential,1,1.5981501999999999
20,0,1,20,500,5000,50,10,home_desktop,sequential,1,3.462203497218588,home_desktop,sequential,1,4.4838996
20,1,1,20,500,5000,50,10,macbook,sequential,1,4.611930279834966,macbook,sequential,1,6.9181648
20,2,1,20,500,5000,50,10,DAS5,sequential,1,4.839820557917358,DAS5,sequential,1,7.360496599999999
21,0,1,20,500,500,1,10,home_desktop,sequential,1,0.08376827065950905,home_desktop,sequential,1,0.156323
21,1,1,20,500,500,1,10,macbook,sequential,1,0.11006188408422106,macbook,sequential,1,0.2800894
21,2,1,20,500,500,1,10,DAS5,sequential,1,0.1440212206675374,DAS5,sequential,1,0.3952002
22,0,1,20,500,500,100,10,home_desktop,sequential,1,0.614028593663032,home_desktop,sequential,1,0.7685778
22,1,1,20,500,500,100,10,macbook,sequential,1,0.8194901135950022,macbook,sequential,1,1.1366114
22,2,1,20,500,500,100,10,DAS5,sequential,1,0.8308808671429588,DAS5,sequential,1,1.327131
23,0,1,20,500,500,500,10,home_desktop,sequential,1,2.756494545192418,home_desktop,sequential,1,3.3295432
23,1,1,20,500,500,500,10,DAS5,sequential,1,3.6060713579527417,DAS5,sequential,1,4.775285599999999
23,2,1,20,500,500,500,10,macbook,sequential,1,3.6858667984870475,macbook,sequential,1,4.7931314
24,0,1,20,500,500,1000,10,home_desktop,sequential,1,5.434576984604151,home_desktop,sequential,1,6.694272
24,1,1,20,500,500,1000,10,DAS5,sequential,1,7.0750594714649715,DAS5,sequential,1,9.195079
24,2,1,20,500,500,1000,10,macbook,sequential,1,7.268837654602104,macbook,sequential,1,10.194841799999999
25,0,1,20,500,500,5000,10,home_desktop,sequential,1,26.859236499898007,home_desktop,sequential,1,47.05907020000001
25,1,1,20,500,500,5000,10,DAS5,sequential,1,34.8269643795628,macbook,sequential,1,61.644436199999994
25,2,1,20,500,500,5000,10,macbook,sequential,1,35.93260450352255,DAS5,sequential,1,72.313721
26,0,1,20,500,500,50,1,home_desktop,sequential,1,0.29055972871471236,home_desktop,sequential,1,0.37224779999999996
26,1,1,20,500,500,50,1,macbook,sequential,1,0.3873285949985186,macbook,sequential,1,0.5588814
26,2,1,20,500,500,50,1,DAS5,sequential,1,0.4012292250974352,DAS5,sequential,1,0.7659106
27,0,1,20,500,500,50,50,home_desktop,sequential,1,0.5936008875313986,home_desktop,sequential,1,0.8702165999999998
27,1,1,20,500,500,50,50,macbook,sequential,1,0.7894793968056208,macbook,sequential,1,1.3886286
27,2,1,20,500,500,50,50,DAS5,sequential,1,0.851772414433072,DAS5,sequential,1,1.5944796
28,0,1,20,500,500,50,100,home_desktop,sequential,1,0.9028265597933235,home_desktop,sequential,1,1.4749664
28,1,1,20,500,500,50,100,macbook,sequential,1,1.1998373578332764,macbook,sequential,1,2.2196001999999995
